,State,Natural Disaster,Year
0,TX,Fire,2000
1,TX,Fire,2000
2,TX,Fire,2000
3,FL,Fire,2000
4,FL,Fire,2000
5,FL,Fire,2000
6,FL,Fire,2000
7,FL,Fire,2000
8,FL,Fire,2000
9,FL,Fire,2000
10,FL,Fire,2000
11,FL,Fire,2000
12,FL,Fire,2000
13,CO,Fire,2000
14,CO,Fire,2000
15,TX,Fire,2000
16,TX,Fire,2000
17,TX,Fire,2000
18,TX,Fire,2000
19,TX,Fire,2000
20,TX,Fire,2000
21,TX,Fire,2000
22,TX,Fire,2000
23,TX,Fire,2000
24,TX,Fire,2000
25,TX,Fire,2000
26,TX,Fire,2000
27,CO,Fire,2000
28,TX,Fire,2000
29,OK,Fire,2000
30,OK,Fire,2000
31,OK,Fire,2000
32,TX,Fire,2000
33,FL,Severe Storm(s),2000
34,FL,Severe Storm(s),2000
35,OK,Severe Storm(s),2000
36,OK,Severe Ice Storm,2000
37,OK,Severe Ice Storm,2000
38,TX,Fire,2000
39,TX,Fire,2000
40,TX,Severe Ice Storm,2000
41,FL,Fire,2001
42,FL,Fire,2001
43,FL,Fire,2001
44,FL,Fire,2001
45,FL,Fire,2001
46,FL,Fire,2001
47,FL,Fire,2001
48,FL,Fire,2001
49,CO,Severe Storm(s),2001
50,FL,Fire,2001
51,FL,Severe Storm(s),2001
52,OK,Severe Storm(s),2001
53,OK,Severe Storm(s),2001
54,CO,Fire,2001
55,OK,Severe Ice Storm,2002
56,CA,Fire,2002
57,CO,Fire,2002
58,CO,Fire,2002
59,CO,Fire,2002
60,CA,Fire,2002
61,CO,Fire,2002
62,CO,Fire,2002
63,CO,Fire,2002
64,CO,Fire,2002
65,CA,Fire,2002
66,CO,Fire,2002
67,CO,Fire,2002
68,CO,Fire,2002
69,CO,Fire,2002
70,CO,Fire,2002
71,CA,Fire,2002
72,CO,Fire,2002
73,CO,Fire,2002
74,CO,Fire,2002
75,CO,Fire,2002
76,CA,Fire,2002
77,TX,Flood,2002
78,CO,Fire,2002
79,CO,Fire,2002
80,CA,Fire,2002
81,CA,Fire,2002
82,CO,Fire,2002
83,CA,Fire,2002
84,CA,Fire,2002
85,CA,Fire,2002
86,CA,Fire,2002
87,CA,Fire,2002
88,TX,Severe Storm(s),2002
89,CA,Fire,2003
90,OK,Severe Ice Storm,2002
91,FL,Severe Storm(s),2003
92,OK,Severe Storm(s),2003
93,CA,Fire,2003
94,CA,Fire,2003
95,CA,Fire,2003
96,TX,Hurricane,2003
97,OK,Fire,2003
98,CO,Fire,2003
99,CA,Fire,2003
100,FL,Severe Storm(s),2003
101,CA,Fire,2003
102,CA,Fire,2003
103,CA,Fire,2003
104,CA,Fire,2003
105,CA,Fire,2003
106,CA,Fire,2003
107,CA,Fire,2003
108,CA,Fire,2003
109,CA,Fire,2003
110,CA,Fire,2003
111,CA,Fire,2003
112,CA,Fire,2003
113,CO,Fire,2003
114,CO,Fire,2003
115,CO,Fire,2003
116,CO,Fire,2004
117,CA,Fire,2004
118,CA,Fire,2004
119,CA,Fire,2004
120,CA,Fire,2004
121,CO,Fire,2004
122,CA,Fire,2004
123,CA,Fire,2004
124,CA,Fire,2004
125,CA,Fire,2004
126,CA,Fire,2004
127,CA,Fire,2004
128,CA,Fire,2004
129,CA,Fire,2004
130,CA,Fire,2004
131,CA,Fire,2004
132,CA,Fire,2004
133,FL,Hurricane,2004
134,CA,Fire,2004
135,CA,Fire,2004
136,CA,Fire,2004
137,CA,Fire,2004
138,FL,Hurricane,2004
139,CA,Fire,2004
140,CA,Fire,2004
141,FL,Hurricane,2004
142,FL,Hurricane,2004
143,CA,Severe Storm(s),2004
144,CA,Severe Storm(s),2005
145,CO,Fire,2005
146,FL,Hurricane,2005
147,CA,Fire,2005
148,CA,Fire,2005
149,FL,Hurricane,2005
150,TX,Hurricane,2005
151,FL,Hurricane,2005
